Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
38.1,-160,-72,-87.90,-61.53,-61.53,0.00
38.2,-160,-72,-87.90,-61.53,-61.53,0.00
38.3,-160,-72,-87.90,-61.53,-61.53,0.00
38.5,-160,-72,-87.90,-61.53,-61.53,0.00
38.6,-160,-72,-87.90,-61.53,-61.53,0.00
38.7,-160,-74,-86.14,-61.53,-60.30,0.00
38.8,-160,-72,-87.90,-60.30,-61.53,0.00
38.9,-160,-74,-86.14,-61.53,-60.30,0.00
39.0,-160,-72,-87.90,-60.30,-61.53,0.00
39.1,-160,-70,-89.66,-61.53,-62.76,0.00
39.2,-160,-72,-87.90,-62.76,-61.53,0.00
39.4,-160,-72,-87.90,-61.53,-61.53,0.00
39.5,-160,-72,-87.90,-61.53,-61.53,0.00
39.6,-160,-74,-86.14,-61.53,-60.30,0.00
39.7,-160,-72,-87.90,-60.30,-61.53,0.00
39.8,-160,-72,-87.90,-61.53,-61.53,0.00
39.9,-160,-72,-87.90,-61.53,-61.53,0.00
40.0,-160,-72,-87.90,-61.53,-61.53,0.00
40.2,-160,-72,-87.90,-61.53,-61.53,0.00
40.3,-160,-72,-87.90,-61.53,-61.53,0.00
40.4,-160,-70,-89.66,-61.53,-62.76,0.00
40.5,-160,-72,-87.90,-62.76,-61.53,0.00
40.6,-160,-72,-87.90,-61.53,-61.53,0.00
40.7,-160,-74,-86.14,-61.53,-60.30,0.00
40.8,-160,-72,-87.90,-60.30,-61.53,0.00
40.9,-160,-70,-89.66,-61.53,-62.76,0.00
41.1,-160,-72,-87.90,-62.76,-61.53,0.00
41.2,-160,-72,-87.90,-61.53,-61.53,0.00
41.3,-160,-72,-87.90,-61.53,-61.53,0.00
41.4,-160,-72,-87.90,-61.53,-61.53,0.00
41.5,-160,-72,-87.90,-61.53,-61.53,0.00
41.6,-160,-70,-89.66,-61.53,-62.76,0.00
41.7,-160,-72,-87.90,-62.76,-61.53,0.00
41.9,-160,-70,-89.66,-61.53,-62.76,0.00
42.0,-160,-70,-89.66,-62.76,-62.76,0.00
42.1,-160,-70,-89.66,-62.76,-62.76,0.00
42.2,-160,-72,-87.90,-62.76,-61.53,0.00
42.3,-160,-70,-89.66,-61.53,-62.76,0.00
42.4,-160,-70,-89.66,-62.76,-62.76,0.00
42.5,-160,-72,-87.90,-62.76,-61.53,0.00
42.6,-160,-72,-87.90,-61.53,-61.53,0.00
42.8,-160,-72,-87.90,-61.53,-61.53,0.00
42.9,-160,-72,-87.90,-61.53,-61.53,0.00
43.0,-160,-72,-87.90,-61.53,-61.53,0.00
43.1,-160,-72,-87.90,-61.53,-61.53,0.00
43.2,-160,-72,-87.90,-61.53,-61.53,0.00
43.3,-160,-72,-87.90,-61.53,-61.53,0.00
43.4,-160,-72,-87.90,-61.53,-61.53,0.00
43.6,-160,-74,-86.14,-61.53,-60.30,0.00
43.7,-160,-72,-87.90,-60.30,-61.53,0.00
43.8,-160,-72,-87.90,-61.53,-61.53,0.00
43.9,-160,-72,-87.90,-61.53,-61.53,0.00
44.0,-160,-72,-87.90,-61.53,-61.53,0.00
44.1,-160,-72,-87.90,-61.53,-61.53,0.00
44.2,-160,-72,-87.90,-61.53,-61.53,0.00
44.3,-160,-74,-86.14,-61.53,-60.30,0.00
44.5,-160,-72,-87.90,-60.30,-61.53,0.00
44.6,-160,-72,-87.90,-61.53,-61.53,0.00
44.7,-160,-72,-87.90,-61.53,-61.53,0.00
44.8,-160,-74,-86.14,-61.53,-60.30,0.00
44.9,-160,-72,-87.90,-60.30,-61.53,0.00
45.0,-160,-72,-87.90,-61.53,-61.53,0.00
45.1,-160,-74,-86.14,-61.53,-60.30,0.00
45.3,-160,-72,-87.90,-60.30,-61.53,0.00
45.4,-160,-72,-87.90,-61.53,-61.53,0.00
45.5,-160,-72,-87.90,-61.53,-61.53,0.00
45.6,-160,-72,-87.90,-61.53,-61.53,0.00
45.7,-160,-72,-87.90,-61.53,-61.53,0.00
45.8,-160,-72,-87.90,-61.53,-61.53,0.00
45.9,-160,-72,-87.90,-61.53,-61.53,0.00
46.0,-160,-72,-87.90,-61.53,-61.53,0.00
46.2,-160,-72,-87.90,-61.53,-61.53,0.00
46.3,-160,-72,-87.90,-61.53,-61.53,0.00
46.4,-160,-72,-87.90,-61.53,-61.53,0.00
46.5,-160,-74,-86.14,-61.53,-60.30,0.00
46.6,-160,-72,-87.90,-60.30,-61.53,0.00
46.7,-160,-72,-87.90,-61.53,-61.53,0.00
46.8,-160,-72,-87.90,-61.53,-61.53,0.00
47.0,-160,-72,-87.90,-61.53,-61.53,0.00
47.1,-160,-74,-86.14,-61.53,-60.30,0.00
47.2,-160,-72,-87.90,-60.30,-61.53,0.00
47.3,-160,-74,-86.14,-61.53,-60.30,0.00
47.4,-160,-72,-87.90,-60.30,-61.53,0.00
47.5,-160,-72,-87.90,-61.53,-61.53,0.00
47.6,-160,-72,-87.90,-61.53,-61.53,0.00
47.7,-160,-72,-87.90,-61.53,-61.53,0.00
47.9,-160,-72,-87.90,-61.53,-61.53,0.00
48.0,-160,-72,-87.90,-61.53,-61.53,0.00
48.1,-160,-72,-87.90,-61.53,-61.53,0.00
48.2,-160,-72,-87.90,-61.53,-61.53,0.00
48.3,-160,-72,-87.90,-61.53,-61.53,0.00
48.4,-160,-72,-87.90,-61.53,-61.53,0.00
48.5,-160,-72,-87.90,-61.53,-61.53,0.00
48.7,-160,-74,-86.14,-61.53,-60.30,0.00
48.8,-160,-72,-87.90,-60.30,-61.53,0.00
48.9,-160,-72,-87.90,-61.53,-61.53,0.00
49.0,-160,-72,-87.90,-61.53,-61.53,0.00
49.1,-160,-74,-86.14,-61.53,-60.30,0.00
49.2,-160,-72,-87.90,-60.30,-61.53,0.00
49.3,-160,-72,-87.90,-61.53,-61.53,0.00
49.4,-160,-72,-87.90,-61.53,-61.53,0.00
49.6,-160,-72,-87.90,-61.53,-61.53,0.00
49.7,-160,-72,-87.90,-61.53,-61.53,0.00
49.8,-160,-72,-87.90,-61.53,-61.53,0.00
49.9,-160,-72,-87.90,-61.53,-61.53,0.00
50.0,-160,-74,-86.14,-61.53,-60.30,0.00
50.1,-160,-72,-87.90,-60.30,-61.53,0.00
50.2,-160,-72,-87.90,-61.53,-61.53,0.00
50.4,-160,-72,-87.90,-61.53,-61.53,0.00
50.5,-160,-74,-86.14,-61.53,-60.30,0.00
50.6,-160,-72,-87.90,-60.30,-61.53,0.00
50.7,-160,-72,-87.90,-61.53,-61.53,0.00
50.8,-160,-72,-87.90,-61.53,-61.53,0.00
50.9,-160,-72,-87.90,-61.53,-61.53,0.00
51.0,-160,-74,-86.14,-61.53,-60.30,0.00
51.1,-160,-72,-87.90,-60.30,-61.53,0.00
51.3,-160,-72,-87.90,-61.53,-61.53,0.00
51.4,-160,-72,-87.90,-61.53,-61.53,0.00
51.5,-160,-72,-87.90,-61.53,-61.53,0.00
51.6,-160,-72,-87.90,-61.53,-61.53,0.00
51.7,-160,-72,-87.90,-61.53,-61.53,0.00
51.8,-160,-72,-87.90,-61.53,-61.53,0.00
51.9,-160,-74,-86.14,-61.53,-60.30,0.00
52.1,-160,-72,-87.90,-60.30,-61.53,0.00
52.2,-160,-74,-86.14,-61.53,-60.30,0.00
52.3,-160,-72,-87.90,-60.30,-61.53,0.00
52.4,-160,-72,-87.90,-61.53,-61.53,0.00
52.5,-160,-70,-89.66,-61.53,-62.76,0.00
52.6,-160,-72,-87.90,-62.76,-61.53,0.00
52.7,-160,-74,-86.14,-61.53,-60.30,0.00
52.8,-160,-72,-87.90,-60.30,-61.53,0.00
53.0,-160,-72,-87.90,-61.53,-61.53,0.00
53.1,-160,-74,-86.14,-61.53,-60.30,0.00
53.2,-160,-72,-87.90,-60.30,-61.53,0.00
53.3,-160,-72,-87.90,-61.53,-61.53,0.00
53.4,-160,-72,-87.90,-61.53,-61.53,0.00
53.5,-160,-72,-87.90,-61.53,-61.53,0.00
53.6,-160,-72,-87.90,-61.53,-61.53,0.00
53.8,-160,-70,-89.66,-61.53,-62.76,0.00
53.9,-160,-72,-87.90,-62.76,-61.53,0.00
54.0,-160,-72,-87.90,-61.53,-61.53,0.00
54.1,-160,-70,-89.66,-61.53,-62.76,0.00
54.2,-160,-70,-89.66,-62.76,-62.76,0.00
54.3,-160,-70,-89.66,-62.76,-62.76,0.00
54.4,-160,-70,-89.66,-62.76,-62.76,0.00
54.5,-160,-70,-89.66,-62.76,-62.76,0.00
54.7,-160,-72,-87.90,-62.76,-61.53,0.00
54.8,-160,-72,-87.90,-61.53,-61.53,0.00
54.9,-160,-74,-86.14,-61.53,-60.30,0.00
55.0,-160,-72,-87.90,-60.30,-61.53,0.00
55.1,-160,-72,-87.90,-61.53,-61.53,0.00
55.2,-160,-72,-87.90,-61.53,-61.53,0.00
55.3,-160,-72,-87.90,-61.53,-61.53,0.00
55.5,-160,-72,-87.90,-61.53,-61.53,0.00
55.6,-160,-74,-86.14,-61.53,-60.30,0.00
55.7,-160,-72,-87.90,-60.30,-61.53,0.00
55.8,-160,-72,-87.90,-61.53,-61.53,0.00
