Tempo: 11.8s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 71.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 11.9s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 12.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 12.1s,Setpoint: 159 RPM,,Vel.: 88 RPM,erro: 71.08 RPM,,Controle: 72.83,AcaoP: 71.08,AcaoI: 0.00
Tempo: 12.2s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 71.08,AcaoP: 72.83,AcaoI: 0.00
Tempo: 12.3s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 12.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 12.6s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 12.7s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 12.8s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 12.9s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 13.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 13.1s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 13.2s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 13.3s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 13.4s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 74.59,AcaoP: 74.59,AcaoI: 0.00
Tempo: 13.5s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 13.6s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 13.7s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 13.9s,Setpoint: 159 RPM,,Vel.: 84 RPM,erro: 74.59 RPM,,Controle: 72.83,AcaoP: 74.59,AcaoI: 0.00
Tempo: 14.0s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 74.59,AcaoP: 72.83,AcaoI: 0.00
Tempo: 14.1s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 14.2s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 14.3s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
Tempo: 14.4s,Setpoint: 159 RPM,,Vel.: 86 RPM,erro: 72.83 RPM,,Controle: 72.83,AcaoP: 72.83,AcaoI: 0.00
