Tempo: 11.22s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 11.32s	Velocidade angular do Motor: -174 RPM	PWM: 250.00	 Pulsos por periodo: -99
Tempo: 11.42s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 11.52s	Velocidade angular do Motor: -176 RPM	PWM: 254.00	 Pulsos por periodo: -100
Tempo: 11.62s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 11.72s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 11.82s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 11.92s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 12.02s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 12.12s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 12.22s	Velocidade angular do Motor: -178 RPM	PWM: 254.00	 Pulsos por periodo: -101
Tempo: 12.32s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 12.42s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 12.52s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 12.62s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 12.72s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 12.82s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 12.92s	Velocidade angular do Motor: -179 RPM	PWM: 253.00	 Pulsos por periodo: -102
Tempo: 13.02s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 13.12s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 13.22s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 13.32s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 13.42s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 13.52s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 13.62s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 13.72s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 13.82s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 13.92s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 14.02s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 14.12s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 14.22s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 14.32s	Velocidade angular do Motor: -179 RPM	PWM: 255.00	 Pulsos por periodo: -102
Tempo: 14.42s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 14.52s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
