Tempo: 19.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.22	AcaoP: 0.01	AcaoI: -138.23
Tempo: 19.1s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.21	AcaoP: 0.01	AcaoI: -138.23
Tempo: 19.2s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.21	AcaoP: 0.01	AcaoI: -138.22
Tempo: 19.3s	Setpoint: -160 RPM		Vel.: -162 RPM	erro: 1.78 RPM		Controle: -138.21	AcaoP: 1.07	AcaoI: -138.05
Tempo: 19.4s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -136.98	AcaoP: 0.01	AcaoI: -138.04
Tempo: 19.5s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.03	AcaoP: 0.01	AcaoI: -138.04
Tempo: 19.6s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -138.03	AcaoP: 0.01	AcaoI: -138.04
Tempo: 19.8s	Setpoint: -160 RPM		Vel.: -158 RPM	erro: -1.74 RPM		Controle: -138.02	AcaoP: -1.04	AcaoI: -138.21
Tempo: 19.9s	Setpoint: -160 RPM		Vel.: -164 RPM	erro: 3.54 RPM		Controle: -139.25	AcaoP: 2.12	AcaoI: -137.86
Tempo: 20.0s	Setpoint: -160 RPM		Vel.: -160 RPM	erro: 0.02 RPM		Controle: -135.73	AcaoP: 0.01	AcaoI: -137.86
Tempo: 20.1s	Setpoint: -158 RPM		Vel.: -160 RPM	erro: 2.02 RPM		Controle: -137.84	AcaoP: 1.21	AcaoI: -137.65
Tempo: 20.2s	Setpoint: -154 RPM		Vel.: -158 RPM	erro: 4.26 RPM		Controle: -136.44	AcaoP: 2.56	AcaoI: -137.23
Tempo: 20.3s	Setpoint: -150 RPM		Vel.: -160 RPM	erro: 10.02 RPM		Controle: -134.67	AcaoP: 6.01	AcaoI: -136.22
Tempo: 20.5s	Setpoint: -147 RPM		Vel.: -160 RPM	erro: 13.02 RPM		Controle: -130.21	AcaoP: 7.81	AcaoI: -134.92
Tempo: 20.6s	Setpoint: -144 RPM		Vel.: -160 RPM	erro: 16.02 RPM		Controle: -127.11	AcaoP: 9.61	AcaoI: -133.32
Tempo: 20.7s	Setpoint: -140 RPM		Vel.: -158 RPM	erro: 18.26 RPM		Controle: -123.71	AcaoP: 10.96	AcaoI: -131.49
Tempo: 20.8s	Setpoint: -137 RPM		Vel.: -158 RPM	erro: 21.26 RPM		Controle: -120.53	AcaoP: 12.76	AcaoI: -129.37
Tempo: 20.9s	Setpoint: -135 RPM		Vel.: -155 RPM	erro: 19.75 RPM		Controle: -116.61	AcaoP: 11.85	AcaoI: -127.39
Tempo: 21.0s	Setpoint: -133 RPM		Vel.: -155 RPM	erro: 21.75 RPM		Controle: -115.54	AcaoP: 13.05	AcaoI: -125.22
Tempo: 21.1s	Setpoint: -131 RPM		Vel.: -151 RPM	erro: 20.23 RPM		Controle: -112.17	AcaoP: 12.14	AcaoI: -123.19
Tempo: 21.3s	Setpoint: -131 RPM		Vel.: -151 RPM	erro: 20.23 RPM		Controle: -111.05	AcaoP: 12.14	AcaoI: -121.17
Tempo: 21.4s	Setpoint: -130 RPM		Vel.: -148 RPM	erro: 17.71 RPM		Controle: -109.03	AcaoP: 10.63	AcaoI: -119.40
Tempo: 21.5s	Setpoint: -130 RPM		Vel.: -146 RPM	erro: 15.96 RPM		Controle: -108.77	AcaoP: 9.57	AcaoI: -117.80
Tempo: 21.6s	Setpoint: -128 RPM		Vel.: -144 RPM	erro: 16.20 RPM		Controle: -108.23	AcaoP: 9.72	AcaoI: -116.18
Tempo: 21.7s	Setpoint: -127 RPM		Vel.: -144 RPM	erro: 17.20 RPM		Controle: -106.47	AcaoP: 10.32	AcaoI: -114.46
Tempo: 21.8s	Setpoint: -127 RPM		Vel.: -142 RPM	erro: 15.44 RPM		Controle: -104.15	AcaoP: 9.26	AcaoI: -112.92
Tempo: 22.0s	Setpoint: -126 RPM		Vel.: -142 RPM	erro: 16.44 RPM		Controle: -103.66	AcaoP: 9.86	AcaoI: -111.28
Tempo: 22.1s	Setpoint: -125 RPM		Vel.: -139 RPM	erro: 13.92 RPM		Controle: -101.41	AcaoP: 8.35	AcaoI: -109.88
Tempo: 22.2s	Setpoint: -125 RPM		Vel.: -139 RPM	erro: 13.92 RPM		Controle: -101.53	AcaoP: 8.35	AcaoI: -108.49
Tempo: 22.3s	Setpoint: -123 RPM		Vel.: -139 RPM	erro: 15.92 RPM		Controle: -100.14	AcaoP: 9.55	AcaoI: -106.90
Tempo: 22.4s	Setpoint: -123 RPM		Vel.: -135 RPM	erro: 12.40 RPM		Controle: -97.35	AcaoP: 7.44	AcaoI: -105.66
